Country Code,TZ Identifier,STD,DST,Time Zone Standard,Time Zone Daylight
CA,Canada/Atlantic,?04:00,?03:00,AST,ADT
CA,Canada/Central,?06:00,?05:00,CST,CDT
CA,Canada/Eastern,?05:00,?04:00,EST,EDT
CA,Canada/Mountain,?07:00,?06:00,MST,MDT
CA,Canada/Newfoundland,?03:30,?02:30,NST,NDT
CA,Canada/Pacific,?08:00,?07:00,PST,PDT
CA,Canada/Saskatchewan,?06:00,?06:00,CST,
CA,Canada/Yukon,?07:00,?07:00,MST,
,CET,+01:00,+02:00,CET,CEST
CL,Chile/Continental,?04:00,?03:00,-4,-3
CL,Chile/EasterIsland,?06:00,?05:00,-6,-5
,CST6CDT,?06:00,?05:00,CST,CDT
CU,Cuba,?05:00,?04:00,CST,CDT
,EET,+02:00,+03:00,EET,EEST
EG,Egypt,+02:00,+03:00,EET,EEST
IE,Eire,+01:00,+00:00,IST,GMT
,EST,?05:00,?05:00,EST,
,EST5EDT,?05:00,?04:00,EST,EDT
,Etc/GMT,+00:00,+00:00,GMT,
,Etc/GMT+0,+00:00,+00:00,GMT,
,Etc/GMT+1,?01:00,?01:00,-1,
,Etc/GMT+10,?10:00,?10:00,-10,
,Etc/GMT+11,?11:00,?11:00,-11,
,Etc/GMT+12,?12:00,?12:00,-12,
,Etc/GMT+2,?02:00,?02:00,-2,
,Etc/GMT+3,?03:00,?03:00,-3,
,Etc/GMT+4,?04:00,?04:00,-4,
,Etc/GMT+5,?05:00,?05:00,-5,
,Etc/GMT+6,?06:00,?06:00,-6,
,Etc/GMT+7,?07:00,?07:00,-7,
,Etc/GMT+8,?08:00,?08:00,-8,
,Etc/GMT+9,?09:00,?09:00,-9,
,Etc/GMT-0,+00:00,+00:00,GMT,
,Etc/GMT-1,+01:00,+01:00,1,
,Etc/GMT-10,+10:00,+10:00,10,
,Etc/GMT-11,+11:00,+11:00,11,
,Etc/GMT-12,+12:00,+12:00,12,
,Etc/GMT-13,+13:00,+13:00,13,
,Etc/GMT-14,+14:00,+14:00,14,
,Etc/GMT-2,+02:00,+02:00,2,
,Etc/GMT-3,+03:00,+03:00,3,
,Etc/GMT-4,+04:00,+04:00,4,
,Etc/GMT-5,+05:00,+05:00,5,
,Etc/GMT-6,+06:00,+06:00,6,
,Etc/GMT-7,+07:00,+07:00,7,
,Etc/GMT-8,+08:00,+08:00,8,
,Etc/GMT-9,+09:00,+09:00,9,
,Etc/GMT0,+00:00,+00:00,GMT,
,Etc/Greenwich,+00:00,+00:00,GMT,
,Etc/UCT,+00:00,+00:00,UTC,
,Etc/Universal,+00:00,+00:00,UTC,
,Etc/UTC,+00:00,+00:00,UTC,
,Etc/Zulu,+00:00,+00:00,UTC,
NL,Europe/Amsterdam,+01:00,+02:00,CET,CEST
AD,Europe/Andorra,+01:00,+02:00,CET,CEST
RU,Europe/Astrakhan,+04:00,+04:00,4,
GR,Europe/Athens,+02:00,+03:00,EET,EEST
GB,Europe/Belfast,+00:00,+01:00,GMT,BST
"RS,?BA,?HR,?ME,?MK,?SI",Europe/Belgrade,+01:00,+02:00,CET,CEST
"DE,?DK,?NO,?SE,?SJ",Europe/Berlin,+01:00,+02:00,CET,CEST
SK,Europe/Bratislava,+01:00,+02:00,CET,CEST
"BE,?LU,?NL",Europe/Brussels,+01:00,+02:00,CET,CEST
RO,Europe/Bucharest,+02:00,+03:00,EET,EEST
HU,Europe/Budapest,+01:00,+02:00,CET,CEST
DE,Europe/Busingen,+01:00,+02:00,CET,CEST
MD,Europe/Chisinau,+02:00,+03:00,EET,EEST
DK,Europe/Copenhagen,+01:00,+02:00,CET,CEST
IE,Europe/Dublin,+01:00,+00:00,IST,GMT
GI,Europe/Gibraltar,+01:00,+02:00,CET,CEST
GG,Europe/Guernsey,+00:00,+01:00,GMT,BST
"FI,?AX",Europe/Helsinki,+02:00,+03:00,EET,EEST
IM,Europe/Isle_of_Man,+00:00,+01:00,GMT,BST
TR,Europe/Istanbul,+03:00,+03:00,3,
JE,Europe/Jersey,+00:00,+01:00,GMT,BST
RU,Europe/Kaliningrad,+02:00,+02:00,EET,
UA,Europe/Kiev,+02:00,+03:00,EET,EEST
RU,Europe/Kirov,+03:00,+03:00,MSK,
UA,Europe/Kyiv,+02:00,+03:00,EET,EEST
PT,Europe/Lisbon,+00:00,+01:00,WET,WEST
SI,Europe/Ljubljana,+01:00,+02:00,CET,CEST
"GB,?GG,?IM,?JE",Europe/London,+00:00,+01:00,GMT,BST
LU,Europe/Luxembourg,+01:00,+02:00,CET,CEST
ES,Europe/Madrid,+01:00,+02:00,CET,CEST
MT,Europe/Malta,+01:00,+02:00,CET,CEST
AX,Europe/Mariehamn,+02:00,+03:00,EET,EEST
BY,Europe/Minsk,+03:00,+03:00,3,
MC,Europe/Monaco,+01:00,+02:00,CET,CEST
RU,Europe/Moscow,+03:00,+03:00,MSK,
CY,Europe/Nicosia,+02:00,+03:00,EET,EEST
NO,Europe/Oslo,+01:00,+02:00,CET,CEST
"FR,?MC",Europe/Paris,+01:00,+02:00,CET,CEST
ME,Europe/Podgorica,+01:00,+02:00,CET,CEST
"CZ,?SK",Europe/Prague,+01:00,+02:00,CET,CEST
LV,Europe/Riga,+02:00,+03:00,EET,EEST
"IT,?SM,?VA",Europe/Rome,+01:00,+02:00,CET,CEST
RU,Europe/Samara,+04:00,+04:00,4,
SM,Europe/San_Marino,+01:00,+02:00,CET,CEST
BA,Europe/Sarajevo,+01:00,+02:00,CET,CEST
RU,Europe/Saratov,+04:00,+04:00,4,
"RU,?UA",Europe/Simferopol,+03:00,+03:00,MSK,
MK,Europe/Skopje,+01:00,+02:00,CET,CEST
BG,Europe/Sofia,+02:00,+03:00,EET,EEST
SE,Europe/Stockholm,+01:00,+02:00,CET,CEST
EE,Europe/Tallinn,+02:00,+03:00,EET,EEST
AL,Europe/Tirane,+01:00,+02:00,CET,CEST
MD,Europe/Tiraspol,+02:00,+03:00,EET,EEST
RU,Europe/Ulyanovsk,+04:00,+04:00,4,
UA,Europe/Uzhgorod,+02:00,+03:00,EET,EEST
LI,Europe/Vaduz,+01:00,+02:00,CET,CEST
VA,Europe/Vatican,+01:00,+02:00,CET,CEST
AT,Europe/Vienna,+01:00,+02:00,CET,CEST
LT,Europe/Vilnius,+02:00,+03:00,EET,EEST
RU,Europe/Volgograd,+03:00,+03:00,MSK,
